stars,reviews,love,price
4.3417,600.0,11057.0,24.0
4.3024,205.0,4984.0,16.5
4.2122,834.0,12096.0,25.0
4.3455,1230.0,21222.0,25.0
4.4338,136.0,4517.0,26.5
4.0879,91.0,2069.0,23.0
4.4167,3050.0,38023.0,17.0
4.5682,44.0,1476.0,14.0
4.5779,680.0,8114.0,20.0
4.3058,484.0,4690.0,19.0
4.3644,247.0,6562.0,17.0
4.2958,1474.0,14079.0,17.0
4.0774,155.0,4163.0,23.5
4.8056,36.0,1403.0,20.0
4.4706,51.0,669.0,19.0
4.0807,1437.0,18590.0,32.0
4.3192,213.0,7705.0,28.0
4.3871,62.0,1587.0,26.0
4.5611,221.0,5034.0,27.5
4.5143,35.0,997.0,27.0
4.619,42.0,1810.0,34.0
4.0491,652.0,6311.0,17.5
4.3036,639.0,12199.0,16.5
4.3759,540.0,6930.0,17.0
4.3889,198.0,3021.0,14.5
4.3587,722.0,11194.0,14.5
4.4079,1091.0,18100.0,14.5
4.4635,2943.0,54412.0,27.0
4.3587,2077.0,20678.0,17.5
4.1952,415.0,12053.0,20.5
4.5551,672.0,29598.0,62.0
4.1419,1353.0,50676.0,62.0
4.15,20.0,639.0,16.0
4.128,125.0,2478.0,49.0
4.7508,321.0,8127.0,90.0
4.5985,2533.0,50776.0,76.0
4.8124,613.0,9682.0,85.0
4.6845,168.0,2322.0,68.0
4.359,39.0,625.0,68.0
4.6923,13.0,488.0,56.0
4.3981,1859.0,18730.0,72.0
4.75,4.0,2386.0,125.0
4.5,30.0,1678.0,144.0
4.8,110.0,2166.0,68.0
4.8022,182.0,36894.0,94.0
4.0,3.0,579.0,72.0
4.8889,9.0,1015.0,72.0
4.5524,143.0,3838.0,26.0
4.7034,118.0,1994.0,21.0
4.7915,422.0,4398.0,17.0
4.3333,42.0,1341.0,25.0
4.7871,202.0,3857.0,18.0
4.6667,396.0,5603.0,15.0
4.6949,2671.0,43814.0,7.5
4.5556,36.0,1232.0,30.0
4.7755,49.0,1290.0,20.0
3.7172,495.0,41487.0,40.0
4.6604,1658.0,59664.0,29.0
4.3966,774.0,7383.0,17.0
4.2449,343.0,58748.0,15.0
4.1273,55.0,1712.0,19.0
4.5525,590.0,30907.0,20.0
4.2872,954.0,12858.0,26.0
